Date,SPY,VFINX,GSPC,DJIA,SWTSX,DIA
1/1/2009, -   , -   ,0, -   , -   ,0
4/1/2009,0.06,0.06,0.06,0.02,0.08,0.03
7/1/2009,0.21,0.21,0.2,0.15,0.22,0.16
10/1/2009,0.27,0.28,0.25,0.21,0.29,0.24
1/1/2010,0.33,0.33,0.3,0.26,0.35,0.3
4/1/2010,0.47,0.48,0.44,0.38,0.51,0.43
7/1/2010,0.37,0.38,0.33,0.31,0.41,0.36
10/1/2010,0.48,0.49,0.43,0.39,0.53,0.46
1/1/2011,0.62,0.62,0.56,0.49,0.67,0.57
4/1/2011,0.73,0.73,0.65,0.6,0.79,0.7
7/1/2011,0.64,0.65,0.56,0.52,0.7,0.62
10/1/2011,0.6,0.61,0.52,0.49,0.65,0.61
1/1/2012,0.69,0.69,0.59,0.58,0.74,0.71
4/1/2012,0.81,0.81,0.69,0.65,0.86,0.8
7/1/2012,0.79,0.8,0.67,0.63,0.83,0.78
10/1/2012,0.84,0.85,0.71,0.64,0.89,0.8
1/1/2013,0.97,0.97,0.81,0.73,1.03,0.93
4/1/2013,1.11,1.11,0.93,0.85,1.18,1.07
7/1/2013,1.24,1.24,1.04,0.94,1.32,1.18
10/1/2013,1.34,1.35,1.13,0.94,1.44,1.2
1/1/2014,1.39,1.39,1.16,0.96,1.49,1.23
4/1/2014,1.54,1.54,1.28,1.07,1.63,1.37
7/1/2014,1.61,1.62,1.34,1.07,1.7,1.38
10/1/2014,1.74,1.75,1.44,1.17,1.82,1.51
1/1/2015,1.73,1.73,1.42,1.15,1.81,1.49
4/1/2015,1.86,1.87,1.53,1.23,1.96,1.6
7/1/2015,1.9,1.9,1.55,1.21,1.99,1.6
10/1/2015,1.9,1.89,1.52,1.21,1.95,1.61
1/1/2016,1.7,1.71,1.35,1.06,1.74,1.45
4/1/2016,1.89,1.9,1.5,1.22,1.95,1.66
7/1/2016,2.06,2.06,1.63,1.3,2.13,1.77
10/1/2016,2.01,2.01,1.57,1.27,2.07,1.75
1/1/2017,2.24,2.24,1.76,1.48,2.33,2.03
4/1/2017,2.41,2.41,1.89,1.62,2.49,2.21
7/1/2017,2.55,2.55,1.99,1.74,2.63,2.37
10/1/2017,2.72,2.72,2.12,1.92,2.8,2.62
1/1/2018,3.1,3.09,2.42,2.27,3.17,3.08
4/1/2018,2.86,2.86,2.21,2.02,2.95,2.79
7/1/2018,3.12,3.12,2.41,2.18,3.22,3
10/1/2018,2.98,2.98,2.28,2.14,3.05,2.98
1/1/2019,3,2.99,2.04,2.12,3.07,2.98
